2012-12-05 19:36:23 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
2012-12-07 02:10:17 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:17 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16148-2ef8-43c6-8480-219cbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:17 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:18 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16147-025c-43f4-b659-219abd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:18 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:18 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15e2f-2a94-461f-9406-1bb7bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:18 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:18 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15f7d-b550-488f-8e32-1ed4bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16147-025c-43f4-b659-219abd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16148-2ef8-43c6-8480-219cbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:36 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:36 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15f7d-b550-488f-8e32-1ed4bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:36 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:10:36 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15e2f-2a94-461f-9406-1bb7bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:06 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:06 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16147-025c-43f4-b659-219abd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:06 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:06 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:06 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15f7d-b550-488f-8e32-1ed4bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:06 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16148-2ef8-43c6-8480-219cbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:06 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:06 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16148-2ef8-43c6-8480-219cbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:06 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:06 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15e2f-2a94-461f-9406-1bb7bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:06 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:07 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15f7d-b550-488f-8e32-1ed4bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:07 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:07 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16147-025c-43f4-b659-219abd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:07 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:07 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15e2f-2a94-461f-9406-1bb7bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:08 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:08 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16148-2ef8-43c6-8480-219cbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:09 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:09 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16147-025c-43f4-b659-219abd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:09 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:09 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15f7d-b550-488f-8e32-1ed4bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:09 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:09 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15e2f-2a94-461f-9406-1bb7bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:14 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:14 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16147-025c-43f4-b659-219abd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:14 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:14 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16148-2ef8-43c6-8480-219cbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:14 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:14 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15f7d-b550-488f-8e32-1ed4bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:14 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:14 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15e2f-2a94-461f-9406-1bb7bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:30 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:30 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16147-025c-43f4-b659-219abd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:30 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:30 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15f7d-b550-488f-8e32-1ed4bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:30 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:30 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16148-2ef8-43c6-8480-219cbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:31 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:31 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15e2f-2a94-461f-9406-1bb7bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16147-025c-43f4-b659-219abd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15f7d-b550-488f-8e32-1ed4bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16148-2ef8-43c6-8480-219cbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15e2f-2a94-461f-9406-1bb7bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15e2f-2a94-461f-9406-1bb7bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16148-2ef8-43c6-8480-219cbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16147-025c-43f4-b659-219abd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:45:35 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15f7d-b550-488f-8e32-1ed4bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:46:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:46:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16147-025c-43f4-b659-219abd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:46:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:46:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16148-2ef8-43c6-8480-219cbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:46:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:46:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15f7d-b550-488f-8e32-1ed4bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:46:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:46:34 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15e2f-2a94-461f-9406-1bb7bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:47:44 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:47:44 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16147-025c-43f4-b659-219abd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:47:44 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:47:44 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15f7d-b550-488f-8e32-1ed4bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:47:44 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:47:44 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c16148-2ef8-43c6-8480-219cbd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:47:45 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: gd-jpeg, libjpeg: recoverable error: Premature end of JPEG file
 in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
2012-12-07 02:47:45 Warning: Warning (2): imagecreatefromjpeg() [<a href='function.imagecreatefromjpeg'>function.imagecreatefromjpeg</a>]: '/home/gillette/public_html/site/webroot/img/upload/galerias/201212/50c15e2f-2a94-461f-9406-1bb7bd71afee/arquivo.jpg' is not a valid JPEG file in [/home/gillette/public_html/site/vendors/resize_img.php, line 51]
